PWDR PG3_45611.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   2   0  -4   2   1.33059  30040.13  97.06611     1.818     0.490   957.162     0.100     0.041     1.881     0.749
   4   0  -1   2   1.30946  29563.22  93.96046     0.690     0.641   897.806     0.102     0.042     1.851     0.266
   3   0   1   2   1.30838  29538.77  93.80249     0.584     0.553   894.839     0.102     0.042     1.849     0.225
   4   1  -2   4   1.29492  29234.94  91.85005     0.004     0.004  1717.166     0.103     0.042     1.830     0.003
   4   0  -3   2   1.29482  29232.63  91.83522     1.413     1.517   858.311     0.103     0.042     1.830     0.522
   2   1   2   4   1.29313  29194.44  91.59121     0.167     0.185  1707.669     0.103     0.042     1.828     0.122
   1   0   3   2   1.29258  29182.03  91.51200     1.528     1.697   852.384     0.103     0.042     1.827     0.560
   3   0  -4   2   1.28138  28929.30  89.90528     1.062     1.177   823.234     0.104     0.043     1.811     0.376
   1   0  -4   2   1.28022  28903.12  89.73958     1.297     1.444   820.258     0.104     0.043     1.810     0.458
   2   3  -1   4   1.27648  28818.66  89.20606     0.014     0.015  1621.422     0.104     0.043     1.804     0.010
   1   3   1   4   1.27605  28808.95  89.14479     0.024     0.026  1619.237     0.104     0.043     1.804     0.017
   3   2   0   4   1.27485  28781.89  88.97427     4.267     4.502  1613.163     0.105     0.043     1.802     2.961
   2   1  -4   4   1.27213  28720.53  88.58806     0.144     0.135  1599.449     0.105     0.043     1.798     0.099
   1   3  -2   4   1.27091  28692.97  88.41484     0.001     0.001  1593.318     0.105     0.044     1.797     0.001
   3   2  -3   4   1.25967  28439.07  86.82654     4.473     4.604  1537.660     0.106     0.044     1.781     2.959
   0   2   3   4   1.25843  28411.09  86.65233     4.298     4.482  1531.617     0.106     0.044     1.779     2.832
   4   1  -1   4   1.25363  28302.90  85.98031     3.607     3.885  1508.419     0.106     0.044     1.772     2.341
   3   1   1   4   1.25268  28281.44  85.84730     3.817     4.041  1503.849     0.106     0.045     1.771     2.469
   4   1  -3   4   1.24077  28012.40  84.18787     3.001     3.000  1447.432     0.107     0.045     1.754     1.868
   1   1   3   4   1.23879  27967.88  83.91469     2.951     2.874  1438.250     0.108     0.045     1.751     1.826
   2   3   0   4   1.23375  27854.10  83.21854     0.572     0.477  1414.987     0.108     0.046     1.744     0.348
   3   1  -4   4   1.22893  27745.16  82.55453     3.199     3.359  1392.978     0.108     0.046     1.737     1.917
   1   1  -4   4   1.22791  27722.06  82.41405     2.896     3.068  1388.344     0.109     0.046     1.736     1.729
   2   3  -2   4   1.22757  27714.55  82.36837     0.426     0.449  1386.839     0.109     0.046     1.735     0.254
   0   3   2   4   1.22706  27703.03  82.29838     0.211     0.220  1384.535     0.109     0.046     1.735     0.126
   4   0   0   2   1.18160  26676.64  76.17403     0.437     0.376   595.229     0.113     0.049     1.670     0.112
   4   0  -4   2   1.16030  26195.88  73.38198     0.267     0.282   553.463     0.115     0.050     1.640     0.064
   0   0   4   2   1.15858  26157.03  73.15852     0.018     0.019   550.187     0.115     0.050     1.638     0.004
   4   2  -2   4   1.15036  25971.54  72.09597     0.472     0.497  1069.490     0.116     0.051     1.626     0.217
   2   2   2   4   1.14910  25943.13  71.93388     0.409     0.412  1064.817     0.116     0.051     1.624     0.187
   4   1   0   4   1.14009  25739.64  70.77795     0.126     0.163  1031.798     0.117     0.052     1.612     0.056
   2   2  -4   4   1.13430  25608.87  70.03977     0.380     0.470  1010.988     0.117     0.052     1.603     0.165
   3   3  -1   4   1.12321  25358.56  68.63706     2.798     2.945   972.034     0.119     0.053     1.588     1.170
   2   3   1   4   1.12272  25347.53  68.57556     2.814     2.900   970.344     0.119     0.053     1.587     1.175
   4   2  -1   4   1.12112  25311.48  68.37474     0.636     0.624   964.835     0.119     0.053     1.585     0.264
   4   1  -4   4   1.12092  25306.97  68.34963     0.275     0.269   964.147     0.119     0.053     1.584     0.114
   3   2   1   4   1.12044  25296.13  68.28931     0.561     0.544   962.496     0.119     0.053     1.584     0.232
   3   3  -2   4   1.11970  25279.36  68.19601     3.807     3.645   959.946     0.119     0.053     1.583     1.572
   0   1   4   4   1.11937  25271.94  68.15478     0.684     0.651   958.820     0.119     0.053     1.582     0.282
   1   3   2   4   1.11893  25261.88  68.09888     3.969     3.741   957.294     0.119     0.053     1.582     1.635
   2   3  -3   4   1.11345  25138.22  67.41348     3.382     3.355   938.686     0.120     0.054     1.574     1.366
   1   3  -3   4   1.11316  25131.78  67.37783     3.554     3.541   937.723     0.120     0.054     1.574     1.433
   4   2  -3   4   1.11189  25103.06  67.21918     1.487     1.477   933.445     0.120     0.054     1.572     0.597
   1   2   3   4   1.11047  25071.00  67.04227     1.706     1.669   928.685     0.120     0.054     1.570     0.681
   3   2  -4   4   1.10335  24910.19  66.15823     1.006     1.156   905.085     0.121     0.054     1.560     0.392
   1   2  -4   4   1.10261  24893.47  66.06662     1.214     1.418   902.657     0.121     0.054     1.559     0.471
   0   4   0   2   1.08490  24493.76  63.89496     0.329     0.492   423.030     0.123     0.056     1.534     0.060
   5   0  -2   2   1.08063  24397.20  63.37559     1.383     1.777   416.398     0.123     0.056     1.528     0.248
   3   0   2   2   1.07923  24365.81  63.20718     1.522     1.904   414.259     0.123     0.056     1.526     0.271
   5   0  -3   2   1.07543  24279.94  62.74762     0.559     0.594   408.450     0.124     0.057     1.520     0.098
   2   0   3   2   1.07363  24239.36  62.53096     0.513     0.583   405.726     0.124     0.057     1.518     0.090
   3   3   0   4   1.06552  24056.27  61.55811     0.090     0.075   787.210     0.125     0.057     1.506     0.030
   3   0  -5   2   1.05799  23886.21  60.66104     1.026     1.110   382.592     0.126     0.058     1.496     0.169
   2   0  -5   2   1.05758  23876.99  60.61260     0.906     0.962   382.001     0.126     0.058     1.495     0.149
   1   4   0   4   1.05740  23872.94  60.59133     1.227     1.291   763.484     0.126     0.058     1.495     0.403
   3   3  -3   4   1.05661  23855.02  60.49723     0.015     0.016   761.195     0.126     0.058     1.494     0.005
   1   4  -1   4   1.05642  23850.84  60.47529     1.040     1.056   760.661     0.126     0.058     1.493     0.340
   0   4   1   4   1.05634  23849.01  60.46565     0.994     1.007   760.427     0.126     0.058     1.493     0.325
   0   3   3   4   1.05588  23838.50  60.41054     0.020     0.020   759.088     0.126     0.058     1.493     0.007
   5   1  -2   4   1.04860  23674.28  59.55212     2.491     2.704   738.385     0.127     0.059     1.482     0.791
   3   1   2   4   1.04733  23645.60  59.40278     2.441     2.529   734.813     0.127     0.059     1.480     0.772
   5   1  -3   4   1.04386  23567.10  58.99505     3.888     3.932   725.103     0.128     0.059     1.476     1.213
   2   1   3   4   1.04221  23529.98  58.80271     3.686     3.752   720.545     0.128     0.059     1.473     1.143
   4   2   0   4   1.03771  23428.28  58.27738     0.376     0.363   708.168     0.128     0.060     1.467     0.114
   5   0  -1   2   1.03078  23271.80  57.47356     4.296     4.305   344.718     0.129     0.060     1.457     0.637
   4   0   1   2   1.03010  23256.46  57.39505     4.136     4.191   343.810     0.129     0.060     1.456     0.612
   3   1  -5   4   1.02788  23206.53  57.13986     3.381     3.365   681.733     0.130     0.061     1.453     0.991
   2   1  -5   4   1.02751  23198.07  57.09671     3.434     3.349   680.740     0.130     0.061     1.452     1.006
   4   2  -4   4   1.02319  23100.60  56.60039     0.422     0.273   669.371     0.130     0.061     1.446     0.121
   0   2   4   4   1.02201  23073.95  56.46505     0.030     0.019   666.287     0.130     0.061     1.445     0.009
   5   0  -4   2   1.01742  22970.25  55.93996     4.465     4.392   327.194     0.131     0.062     1.438     0.629
   1   0   4   2   1.01568  22930.97  55.74173     5.284     4.246   324.962     0.131     0.062     1.436     0.739
   4   0  -5   2   1.00901  22780.43  54.98513     5.183     4.286   316.512     0.132     0.062     1.426     0.706
   1   0  -5   2   1.00795  22756.46  54.86515     5.217     4.383   315.182     0.132     0.063     1.425     0.707
   2   4  -1   4   1.00737  22743.37  54.79967     5.134     4.308   628.914     0.132     0.063     1.424     1.389
   1   4   1   4   1.00716  22738.59  54.77579     5.321     4.460   628.386     0.132     0.063     1.424     1.438
   1   4  -2   4   1.00463  22681.44  54.49042     4.980     4.429   622.091     0.133     0.063     1.420     1.333
   5   1  -1   4   1.00287  22641.88  54.29335     0.195     0.193   617.763     0.133     0.063     1.418     0.052
   4   1   1   4   1.00225  22627.75  54.22305     0.139     0.144   616.222     0.133     0.063     1.417     0.037
   5   1  -4   4   0.99056  22363.87  52.91842     0.032     0.041   587.974     0.135     0.064     1.400     0.008
   4   3  -2   4   0.98958  22341.78  52.80997     0.004     0.004   585.655     0.135     0.064     1.399     0.001
   1   1   4   4   0.98895  22327.62  52.74045     0.109     0.115   584.171     0.135     0.064     1.398     0.027
   2   3   2   4   0.98878  22323.69  52.72119     0.169     0.175   583.760     0.135     0.065     1.398     0.042
   2   4   0   4   0.98597  22260.20  52.41025     0.034     0.039   577.147     0.135     0.065     1.394     0.008
   2   4  -2   4   0.98280  22188.77  52.06158     0.057     0.068   569.775     0.136     0.065     1.389     0.014
   4   1  -5   4   0.98279  22188.57  52.06062     0.008     0.010   569.754     0.136     0.065     1.389     0.002
   0   4   2   4   0.98254  22182.86  52.03277     0.260     0.314   569.168     0.136     0.065     1.389     0.064
   1   1  -5   4   0.98181  22166.43  51.95273     0.029     0.037   567.483     0.136     0.065     1.388     0.007
   2   3  -4   4   0.97930  22109.65  51.67671     0.057     0.128   561.691     0.136     0.065     1.384     0.014
   4   3  -1   4   0.97078  21917.42  50.74768     3.514     3.677   542.409     0.137     0.066     1.372     0.820
   3   3   1   4   0.97034  21907.45  50.69973     3.797     3.907   541.423     0.137     0.066     1.372     0.884
   5   2  -2   4   0.96730  21838.83  50.37037     1.757     1.746   534.671     0.138     0.067     1.367     0.404
   3   2   2   4   0.96630  21816.31  50.26248     1.860     1.870   532.469     0.138     0.067     1.366     0.426
   4   3  -3   4   0.96477  21781.68  50.09685     2.899     2.839   529.096     0.138     0.067     1.364     0.660
   1   3   3   4   0.96384  21760.73  49.99677     2.970     2.778   527.063     0.138     0.067     1.362     0.673
   5   2  -3   4   0.96357  21754.61  49.96758     0.634     0.585   526.470     0.138     0.067     1.362     0.144
   2   2   3   4   0.96228  21725.40  49.82828     0.646     0.569   523.648     0.138     0.067     1.360     0.146
   3   3  -4   4   0.95917  21655.33  49.49490     3.234     3.240   516.925     0.139     0.068     1.356     0.719
   1   3  -4   4   0.95869  21644.34  49.44272     2.964     2.960   515.876     0.139     0.068     1.355     0.658
   3   2  -5   4   0.95097  21470.03  48.61896     1.022     1.092   499.458     0.140     0.069     1.344     0.220
   2   2  -5   4   0.95067  21463.34  48.58746     0.869     0.939   498.835     0.140     0.069     1.344     0.186
   5   0   0   2   0.94528  21341.59  48.01651     0.266     0.399   243.806     0.141     0.069     1.336     0.028
   5   2  -1   4   0.93106  21020.54  46.52795     3.729     4.233   458.926     0.143     0.071     1.316     0.736
   4   2   1   4   0.93056  21009.24  46.47598     3.680     4.079   457.939     0.143     0.071     1.315     0.725
   5   0  -5   2   0.92824  20956.95  46.23604     1.498     1.498   226.699     0.144     0.071     1.312     0.146
   0   0   5   2   0.92686  20925.87  46.09373     1.482     1.474   225.357     0.144     0.071     1.310     0.144
   3   4  -1   4   0.92674  20923.13  46.08117     1.580     1.571   450.477     0.144     0.071     1.310     0.306
   2   4   1   4   0.92647  20916.93  46.05283     1.460     1.451   449.943     0.144     0.071     1.310     0.283
   3   4  -2   4   0.92477  20878.57  45.87759     0.837     0.840   446.652     0.144     0.072     1.307     0.161
   1   4   2   4   0.92433  20868.72  45.83266     0.714     0.724   445.810     0.144     0.072     1.307     0.137
   5   1   0   4   0.92362  20852.63  45.75929     3.845     3.958   444.436     0.144     0.072     1.306     0.735
   2   4  -3   4   0.92124  20798.84  45.51453     0.989     1.005   439.868     0.145     0.072     1.302     0.187
   5   2  -4   4   0.92118  20797.51  45.50847     4.254     4.314   439.756     0.145     0.072     1.302     0.805
   1   4  -3   4   0.92107  20795.19  45.49793     0.955     0.966   439.560     0.145     0.072     1.302     0.181
   1   2   4   4   0.91989  20768.35  45.37605     4.242     4.170   437.294     0.145     0.072     1.300     0.798
   4   3   0   4   0.91510  20660.40  44.88772     0.142     0.149   428.273     0.146     0.073     1.294     0.026
   4   2  -5   4   0.91492  20656.31  44.86928     3.951     4.170   427.934     0.146     0.073     1.293     0.727
   1   2  -5   4   0.91413  20638.43  44.78872     4.064     4.310   426.454     0.146     0.073     1.292     0.746
   5   1  -5   4   0.90771  20493.39  44.13789     2.793     2.911   414.592     0.147     0.074     1.283     0.498
   0   1   5   4   0.90642  20464.33  44.00810     2.611     2.683   412.245     0.147     0.074     1.281     0.463
   4   3  -4   4   0.90510  20434.63  43.87568     0.235     0.246   409.857     0.147     0.074     1.279     0.042
   6   0  -3   2   0.90449  20420.71  43.81374     3.922     4.065   204.371     0.147     0.074     1.279     0.345
   0   3   4   4   0.90429  20416.17  43.79351     0.584     0.604   408.378     0.147     0.074     1.278     0.103
   3   0   3   2   0.90311  20389.66  43.67564     3.891     4.107   203.130     0.148     0.074     1.277     0.340
   3   4   0   4   0.89354  20173.45  42.72074     4.503     4.265   389.301     0.149     0.076     1.263     0.754
   6   0  -2   2   0.89124  20121.61  42.49351     0.020     0.017   192.657     0.150     0.076     1.260     0.002
   4   0   2   2   0.89026  20099.58  42.39721     0.054     0.046   191.815     0.150     0.076     1.258     0.004
   3   4  -3   4   0.88826  20054.32  42.19962     4.686     4.376   380.186     0.150     0.076     1.256     0.766
   0   4   3   4   0.88782  20044.50  42.15683     4.358     4.132   379.442     0.150     0.076     1.255     0.711
   3   0  -6   2   0.88706  20027.26  42.08175     4.367     4.225   189.069     0.150     0.076     1.254     0.355
   6   1  -3   4   0.88546  19991.12  41.92463     0.120     0.125   375.416     0.150     0.077     1.252     0.019
   6   0  -4   2   0.88428  19964.44  41.80884     0.083     0.098   186.708     0.151     0.077     1.250     0.007
   3   1   3   4   0.88417  19961.98  41.79819     0.181     0.215   373.232     0.151     0.077     1.250     0.029
   2   0   4   2   0.88275  19930.06  41.65990     0.485     0.685   185.425     0.151     0.077     1.248     0.039
   6   1  -2   4   0.87302  19710.24  40.71479     0.343     0.439   354.757     0.153     0.078     1.234     0.052
   4   0  -6   2   0.87211  19689.79  40.62750     0.003     0.004   176.644     0.153     0.078     1.233     0.000
   4   1   2   4   0.87210  19689.54  40.62644     0.447     0.554   353.269     0.153     0.078     1.233     0.068
   2   0  -6   2   0.87156  19677.40  40.57467     0.542     0.670   176.199     0.153     0.079     1.232     0.041
   3   1  -6   4   0.86909  19621.53  40.33694     0.008     0.010   348.414     0.153     0.079     1.229     0.001
   5   2   0   4   0.86661  19565.56  40.09957     0.357     0.392   344.455     0.154     0.079     1.225     0.053
   6   1  -4   4   0.86647  19562.44  40.08639     0.339     0.368   344.236     0.154     0.079     1.225     0.050
   5   3  -2   4   0.86573  19545.64  40.01528     2.565     2.608   343.054     0.154     0.079     1.224     0.379
   2   1   4   4   0.86504  19530.09  39.94960     0.016     0.015   341.964     0.154     0.079     1.223     0.002
   3   3   2   4   0.86501  19529.48  39.94702     2.508     2.440   341.922     0.154     0.079     1.223     0.369
   5   3  -3   4   0.86305  19485.18  39.76016     4.085     3.800   338.830     0.154     0.080     1.220     0.595
   2   3   3   4   0.86212  19464.19  39.67177     3.886     3.549   337.372     0.155     0.080     1.219     0.564
   4   1  -6   4   0.85502  19303.84  39.00059     0.742     0.619   326.391     0.156     0.081     1.209     0.104
   2   1  -6   4   0.85450  19292.16  38.95199     0.051     0.044   325.602     0.156     0.081     1.208     0.007
   3   3  -5   4   0.85396  19279.90  38.90099     3.811     3.251   324.775     0.156     0.081     1.207     0.532
   2   3  -5   4   0.85374  19275.06  38.88084     3.750     3.166   324.448     0.156     0.081     1.207     0.523
   1   5   0   4   0.85365  19272.93  38.87198     3.645     3.060   324.305     0.156     0.081     1.207     0.509
   5   2  -5   4   0.85343  19267.90  38.85109     1.781     1.472   323.967     0.156     0.081     1.206     0.248
   1   5  -1   4   0.85313  19261.29  38.82365     4.142     3.341   323.523     0.156     0.081     1.206     0.576
   0   5   1   4   0.85309  19260.32  38.81963     3.933     3.161   323.458     0.156     0.081     1.206     0.547
   0   2   5   4   0.85236  19243.74  38.75078     1.889     1.431   322.345     0.156     0.081     1.205     0.262
   6   0  -1   2   0.84859  19158.68  38.39888     2.306     1.876   158.342     0.157     0.082     1.200     0.157
   5   0   1   2   0.84812  19148.21  38.35573     2.556     2.160   157.996     0.157     0.082     1.199     0.174
   4   4  -2   4   0.84731  19129.91  38.28031     0.515     0.440   314.785     0.157     0.082     1.198     0.070
   2   4   2   4   0.84681  19118.55  38.23354     0.438     0.363   314.038     0.157     0.082     1.197     0.059
   2   4  -4   4   0.84083  18983.58  37.68063     0.374     0.415   305.264     0.158     0.083     1.189     0.049
