"limits",0.442950750076346,4.873917707609793
"masked X","X","obs","calc","bkg","diff"
--,3390.572913768,78.69816756694851,0.0,0.0,-27.713930553331338
--,3393.284254492,77.71365751807895,0.0,0.0,-27.713930553331338
--,3395.9977633945,76.27819840902492,0.0,0.0,-27.713930553331338
--,3398.7134422100003,74.95711456969002,0.0,0.0,-27.713930553331338
--,3401.4312926735,77.86097782523959,0.0,0.0,-27.713930553331338
--,3404.1513165210004,72.39351852505222,0.0,0.0,-27.713930553331338
--,3406.873515491,70.4764232958991,0.0,0.0,-27.713930553331338
--,3409.5978913235003,66.17982051654559,0.0,0.0,-27.713930553331338
--,3412.3244457585,74.9286100635577,0.0,0.0,-27.713930553331338
--,3415.053180538,72.97927685183089,0.0,0.0,-27.713930553331338
--,3417.784097406,71.21852838679779,0.0,0.0,-27.713930553331338
--,3420.5171981075,75.5776807022107,0.0,0.0,-27.713930553331338
--,3423.252484389,76.48700435012829,0.0,0.0,-27.713930553331338
--,3425.9899579975,83.62206477181205,0.0,0.0,-27.713930553331338
--,3428.7296206825004,77.48718677977664,0.0,0.0,-27.713930553331338
--,3431.4714741945,76.13006687028084,0.0,0.0,-27.713930553331338
--,3434.2155202855,71.72256762026731,0.0,0.0,-27.713930553331338
--,3436.961760709,66.69210423567553,0.0,0.0,-27.713930553331338
--,3439.7101972194996,74.35501624619629,0.0,0.0,-27.713930553331338
--,3442.4608315735,70.81354236777372,0.0,0.0,-27.713930553331338
--,3445.2136655285003,74.53596936762024,0.0,0.0,-27.713930553331338
--,3447.968700843,74.00018056437007,0.0,0.0,-27.713930553331338
--,3450.7259392775,75.38660211570817,0.0,0.0,-27.713930553331338
--,3453.485382594,75.30669394940813,0.0,0.0,-27.713930553331338
--,3456.2470325555005,70.78066386607263,0.0,0.0,-27.713930553331338
--,3459.010890927,72.28018114889697,0.0,0.0,-27.713930553331338
--,3461.7769594740003,72.44668282769334,0.0,0.0,-27.713930553331338
--,3464.5452399640003,75.22265141756844,0.0,0.0,-27.713930553331338
--,3467.3157341660003,80.14834448640232,0.0,0.0,-27.713930553331338
--,3470.0884438499997,73.93148666207095,0.0,0.0,-27.713930553331338
--,3472.863370788,72.989795966277,0.0,0.0,-27.713930553331338
--,3475.6405167525,77.79894873838781,0.0,0.0,-27.713930553331338
--,3478.4198835185002,77.11290870414179,0.0,0.0,-27.713930553331338
