XYDATA
# File generated by Mantid, Instrument POWGEN
# The X-axis unit is: Time-of-flight, The Y-axis unit is: Counts per microAmp.hour
# Data for spectra :1
# Spectrum 1 
# Time-of-flight              Y                 E
     3389.21779       48.50456846        2.91401229
     3391.92804       50.12278040        2.94951881
     3394.64047       53.84269108        3.02773382
     3397.35506       56.34241170        3.07748968
     3400.07182       49.86719002        2.95469008
     3402.79076       51.70180273        2.97780025
     3405.51187       53.44479178        2.98980534
     3408.23516       54.50487532        2.98217411
     3410.96062       51.07851091        2.89028079
     3413.68827       55.69942886        2.94034429
     3416.41809       52.62525209        2.85070180
     3419.15010       56.63834782        2.88816255
     3421.88429       53.71182579        2.80653679
     3424.62067       54.33233652        2.78641650
     3427.35924       55.42703220        2.77499126
     3430.10000       60.64306022        2.83319897
     3432.84295       53.23947209        2.68333993
     3435.58809       51.02432938        2.62022852
     3438.33543       56.52623282        2.68401349
     3441.08496       51.91131177        2.58044436
     3443.83670       58.00014715        2.65801276
     3446.59063       54.62405203        2.58685137
     3449.34677       49.04575918        2.47912083
     3452.10511       45.96023878        2.40732511
     3454.86566       49.05222038        2.43485858
     3457.62841       50.75798917        2.43770268
     3460.39337       54.79240063        2.47473506
     3463.16055       50.54578295        2.38035113
     3465.92993       47.84989743        2.30932992
     3468.70153       53.85460248        2.37633015
     3471.47535       50.45301130        2.29626765
     3474.25139       57.53616463        2.38014174
     3477.02964       54.96809705        2.32107801
     3479.81012       50.33178151        2.23570501
     3482.59282       49.09258062        2.20625833
     3485.37775       51.30479624        2.22952887
     3488.16490       50.58192428        2.20428233
     3490.95429       57.70831373        2.29144153
     3493.74590       50.26876346        2.16304447
     3496.53974       56.58091369        2.23831111
     3499.33582       54.79313385        2.19661957
     3502.13414       53.74574502        2.16608694
     3504.93469       56.51112490        2.19172466
     3507.73748       52.56387968        2.12280236
     3510.54252       53.01457368        2.11652283
     3513.34979       51.08789513        2.07405431
     3516.15932       56.14548624        2.13011561
     3518.97108       53.99426331        2.08483920
     3521.78510       53.27462190        2.06177694
     3524.60137       51.20040659        2.02199635
     3527.41989       53.62428189        2.04834786
     3530.24066       53.09187630        2.03422027
     3533.06369       53.79144085        2.03654943
     3535.88898       52.16069693        2.00517866
     3538.71652       53.35213170        2.01142444
     3541.54633       52.54506130        1.99077191
     3544.37840       55.39254562        2.02005320
     3547.21273       51.40890749        1.95466853
     3550.04933       52.82926987        1.95853769
     3552.88820       50.71889098        1.91272076
     3555.72934       51.83268576        1.91252034
     3558.57275       54.45762466        1.93519942
     3561.41844       53.47318164        1.91106573
     3564.26640       56.10644597        1.93584060
     3567.11664       52.85137265        1.88393682
     3569.96916       50.87102305        1.84985820
     3572.82395       57.21854383        1.92626927
     3575.68104       56.62464282        1.91119438
     3578.54040       51.45225077        1.83660668
     3581.40205       55.84625404        1.88774601
     3584.26600       50.62203187        1.81474354
     3587.13223       54.14516841        1.85735860
     3590.00075       52.13629081        1.82851529
     3592.87157       51.66596734        1.81899117
     3595.74468       51.28686905        1.80847034
     3598.62009       51.50549920        1.80358038
     3601.49780       51.48696319        1.79528903
     3604.37781       53.54028905        1.81348616
     3607.26013       48.33558571        1.73868986
     3610.14474       53.89301230        1.80159442
     3613.03167       50.91520990        1.75462961
     3615.92091       52.80256456        1.76975233
     3618.81245       52.00537033        1.75206953
     3621.70631       52.08472526        1.74704671
     3624.60248       52.32281933        1.74384947
     3627.50097       55.93801693        1.78196215
     3630.40177       54.00804580        1.75122514
     3633.30490       50.60736814        1.70147824
     3636.21034       52.96320710        1.72469720
     3639.11811       51.33924792        1.69878283
     3642.02821       51.24428586        1.69235860
     3644.94063       53.81300749        1.71862215
     3647.85538       54.41784986        1.71989723
     3650.77246       55.79007031        1.73026651
     3653.69188       56.95954987        1.73784679
     3656.61363       54.33944768        1.69935305
     3659.53771       49.13657505        1.62768406
     3662.46413       54.01020975        1.68212471
     3665.39290       56.43459036        1.70621699
     3668.32400       55.57457003        1.69141537
     3671.25745       55.58236064        1.68792837
     3674.19325       51.95425577        1.64073209
     3677.13139       56.37260100        1.69107412
     3680.07189       51.74558366        1.63319718
     3683.01473       53.27472705        1.64885788
     3685.95993       50.27771695        1.60838299
     3688.90748       55.91818888        1.67034708
     3691.85739       54.88161644        1.65170001
     3694.80966       54.63240230        1.64233766
     3697.76429       53.66062654        1.62520324
     3700.72128       56.35754553        1.65264840
     3703.68064       51.25968224        1.58871946
     3706.64236       52.83402876        1.60365663
     3709.60646       52.54061416        1.59469302
     3712.57292       54.58293003        1.61282044
     3715.54175       53.36308578        1.59216347
     3718.51296       53.98095539        1.59267130
     3721.48655       56.15180400        1.61157423
     3724.46251       53.07951817        1.57048153
     3727.44085       53.35360606        1.56968530
     3730.42158       53.54514412        1.56889438
     3733.40468       53.40625364        1.56516627
     3736.39018       54.91955782        1.58110369
     3739.37806       51.70902669        1.54197197
     3742.36833       52.26226183        1.54478700
     3745.36099       54.91538251        1.56999581
     3748.35604       53.40743636        1.54700288
     3751.35349       56.04896236        1.57131191
     3754.35334       53.42341624        1.53637700
     3757.35558       51.56860530        1.51066419
     3760.36023       55.24012799        1.54859785
     3763.36728       54.18958347        1.53327504
     3766.37673       53.00557711        1.51692083
     3769.38859       51.86414560        1.50113269
     3772.40286       53.13454937        1.51286822
     3775.41954       54.40703552        1.52439201
     3778.43863       53.53016436        1.51153305
     3781.46014       54.21887647        1.51663922
     3784.48406       54.10775543        1.51312755
     3787.51040       50.41197740        1.46861676
     3790.53916       54.66479174        1.51234082
     3793.57034       53.39795182        1.49324503
     3796.60394       55.11430864        1.50695534
     3799.63998       54.49464208        1.49572653
     3802.67844       54.94489834        1.49791264
     3805.71932       54.46329368        1.49099513
     3808.76265       54.24320969        1.48689047
     3811.80840       57.30673204        1.51821937
     3814.85659       51.88838750        1.45810476
     3817.90722       50.84586482        1.44635150
     3820.96029       53.83718488        1.47840241
     3824.01579       55.48584200        1.49315696
     3827.07375       55.07046635        1.48337600
     3830.13414       53.87285718        1.46401492
     3833.19699       55.72760306        1.47798136
     3836.26228       53.16481080        1.44583919
     3839.33003       51.56825685        1.42485786
     3842.40023       55.96329551        1.46868799
     3845.47288       53.09945626        1.43352866
     3848.54799       56.07765331        1.46045603
     3851.62556       54.71937143        1.44166439
     3854.70559       56.76991582        1.46004707
     3857.78809       53.70341825        1.42579487
     3860.87304       54.54482145        1.43377265
     3863.96047       52.83114372        1.41444253
     3867.05037       53.40189904        1.41817711
     3870.14273       51.31381387        1.39183640
     3873.23757       52.28299693        1.39789443
     3876.33488       54.48195940        1.41748650
     3879.43467       53.28523530        1.40205905
     3882.53694       54.39116516        1.41177568
     3885.64169       53.03012373        1.39528567
     3888.74892       53.72758080        1.39998720
     3891.85864       54.54993102        1.40579831
     3894.97085       53.54353865        1.39317389
     3898.08554       53.32827195        1.38942765
     3901.20272       56.35523798        1.41873393
     3904.32240       53.60696757        1.38732759
     3907.44457       53.82555385        1.38505345
     3910.56924       54.01260400        1.38161147
     3913.69640       52.98970262        1.36595256
     3916.82607       53.29986326        1.36504614
     3919.95824       52.56600417        1.35371993
     3923.09291       54.41384797        1.37004138
     3926.23010       54.04176157        1.36414380
     3929.36979       58.22016773        1.40571037
     3932.51199       53.27059048        1.35447985
     3935.65670       54.97231945        1.37085318
     3938.80393       52.80433569        1.34686191
     3941.95367       55.91945046        1.37659946
