PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   2   3  -2   4   1.22978  27764.35  75.95449     0.316     0.354  1389.966     0.108     0.051     1.738     1.638
   0   3   2   4   1.22922  27751.70  75.88020     0.195     0.216  1387.434     0.108     0.051     1.738     1.012
   4   0   0   2   1.18031  26647.45  69.52397     0.029     0.256   589.711     0.113     0.054     1.668     0.063
   4   0  -4   2   1.16337  26265.07  67.38189     0.047     0.185   556.581     0.115     0.055     1.645     0.097
   0   0   4   2   1.16147  26222.30  67.14420     0.000     0.000   552.964     0.115     0.055     1.642     0.000
   4   2  -2   4   1.15103  25986.46  65.84035     0.331     0.404  1066.671     0.116     0.056     1.627     1.315
   2   2   2   4   1.14965  25955.37  65.66935     0.350     0.365  1061.575     0.116     0.056     1.625     1.385
   4   1   0   4   1.13905  25716.04  64.35967     0.114     0.170  1022.955     0.117     0.056     1.610     0.434
   2   2  -4   4   1.13784  25688.71  64.21085     0.252     0.395  1018.612     0.117     0.057     1.608     0.958
   3   3  -1   4   1.12398  25375.95  62.51930     2.672     2.710   969.901     0.119     0.058     1.589     9.667
   4   1  -4   4   1.12380  25371.86  62.49731     0.240     0.242   969.275     0.119     0.058     1.589     0.867
   2   3   1   4   1.12345  25363.88  62.45441     2.794     2.797   968.056     0.119     0.058     1.588    10.087
   0   1   4   4   1.12209  25333.31  62.29023     0.493     0.480   963.396     0.119     0.058     1.586     1.772
   3   3  -2   4   1.12119  25312.92  62.18084     3.454     3.308   960.298     0.119     0.058     1.585    12.370
   4   2  -1   4   1.12094  25307.20  62.15021     0.695     0.662   959.431     0.119     0.058     1.585     2.486
   1   3   2   4   1.12034  25293.75  62.07810     3.535     3.311   957.392     0.119     0.058     1.584    12.622
   3   2   1   4   1.12020  25290.44  62.06038     0.596     0.555   956.892     0.119     0.058     1.583     2.127
   2   3  -3   4   1.11606  25197.05  61.56094     3.168     3.142   942.834     0.119     0.058     1.578    11.142
   1   3  -3   4   1.11574  25189.96  61.52308     3.164     3.164   941.773     0.119     0.058     1.577    11.115
   4   2  -3   4   1.11360  25141.48  61.26465     1.359     1.322   934.544     0.120     0.058     1.574     4.738
   1   2   3   4   1.11204  25106.30  61.07741     1.470     1.426   929.324     0.120     0.058     1.572     5.095
   3   2  -4   4   1.10657  24982.96  60.42297     0.913     1.130   911.193     0.120     0.059     1.564     3.102
   1   2  -4   4   1.10576  24964.53  60.32547     0.892     1.140   908.508     0.120     0.059     1.563     3.021
   0   4   0   2   1.08650  24529.85  58.04658     0.250     0.393   423.430     0.123     0.060     1.536     0.396
   5   0  -2   2   1.08037  24391.31  57.32868     1.014     1.459   413.944     0.123     0.061     1.527     1.566
   3   0   2   2   1.07885  24357.05  57.15176     1.064     1.463   411.623     0.124     0.061     1.525     1.633
   5   0  -3   2   1.07624  24298.19  56.84848     0.493     0.583   407.658     0.124     0.061     1.521     0.750
   2   0   3   2   1.07427  24253.76  56.62001     0.501     0.639   404.685     0.124     0.061     1.519     0.757
   3   3   0   4   1.06584  24063.45  55.64613     0.036     0.031   784.261     0.125     0.062     1.507     0.107
   3   0  -5   2   1.06191  23974.57  55.19395     0.808     0.979   386.368     0.125     0.062     1.501     1.165
   2   0  -5   2   1.06145  23964.39  55.14225     0.785     0.939   385.712     0.126     0.062     1.500     1.130
   1   4   0   4   1.05883  23905.07  54.84155     1.103     1.122   763.814     0.126     0.063     1.497     3.144
   3   3  -3   4   1.05874  23903.20  54.83211     0.011     0.011   763.576     0.126     0.063     1.497     0.032
   1   4  -1   4   1.05805  23887.45  54.75241     0.955     0.945   761.565     0.126     0.063     1.496     2.712
   0   4   1   4   1.05796  23885.44  54.74222     0.968     0.956   761.308     0.126     0.063     1.495     2.748
   0   3   3   4   1.05794  23885.05  54.74023     0.011     0.011   761.258     0.126     0.063     1.495     0.030
   5   1  -2   4   1.04846  23670.95  53.66216     2.330     2.615   734.327     0.127     0.064     1.482     6.381
   3   1   2   4   1.04707  23639.63  53.50528     2.388     2.607   730.448     0.127     0.064     1.480     6.505
   5   1  -3   4   1.04469  23585.82  53.23621     3.433     3.434   723.818     0.128     0.064     1.477     9.267
   2   1   3   4   1.04288  23545.18  53.03342     3.520     3.387   718.842     0.128     0.064     1.474     9.438
   4   2   0   4   1.03718  23416.45  52.39344     0.343     0.238   703.248     0.128     0.065     1.466     0.899
   3   1  -5   4   1.03156  23289.49  51.76583     2.689     2.995   688.119     0.129     0.065     1.458     6.901
   2   1  -5   4   1.03115  23280.16  51.71982     2.723     3.071   687.017     0.129     0.065     1.458     6.977
   5   0  -1   2   1.02987  23251.32  51.57779     3.501     3.848   341.809     0.129     0.065     1.456     4.463
   4   0   1   2   1.02913  23234.60  51.49556     3.697     3.925   340.827     0.129     0.065     1.455     4.700
   4   2  -4   4   1.02563  23155.70  51.10819     0.218     0.173   672.442     0.130     0.066     1.450     0.548
   0   2   4   4   1.02433  23126.38  50.96458     0.000     0.000   669.042     0.130     0.066     1.448     0.000
   5   0  -4   2   1.01925  23011.70  50.40475     4.358     3.979   327.934     0.131     0.066     1.441     5.330
   1   0   4   2   1.01734  22968.57  50.19494     4.327     3.971   325.483     0.131     0.066     1.438     5.253
   4   0  -5   2   1.01234  22855.53  49.64697     4.357     3.973   319.122     0.132     0.067     1.431     5.186
   1   0  -5   2   1.01116  22829.09  49.51921     4.167     3.885   317.647     0.132     0.067     1.429     4.936
   2   4  -1   4   1.00868  22773.03  49.24880     4.486     3.982   629.077     0.132     0.067     1.426    10.526
   1   4   1   4   1.00845  22767.79  49.22357     4.436     3.929   628.498     0.132     0.067     1.426    10.398
   1   4  -2   4   1.00643  22722.23  49.00437     4.413     3.995   623.482     0.132     0.067     1.423    10.263
   5   1  -1   4   1.00212  22624.81  48.53723     0.104     0.127   612.857     0.133     0.068     1.417     0.237
   4   1   1   4   1.00143  22609.41  48.46358     0.071     0.084   611.190     0.133     0.068     1.416     0.162
   5   1  -4   4   0.99233  22403.87  47.48551     0.020     0.029   589.264     0.134     0.069     1.403     0.045
   1   1   4   4   0.99057  22364.06  47.29717     0.028     0.031   585.087     0.135     0.069     1.400     0.061
   4   3  -2   4   0.99038  22359.94  47.27771     0.002     0.003   584.656     0.135     0.069     1.400     0.005
   2   3   2   4   0.98951  22340.13  47.18412     0.079     0.079   582.586     0.135     0.069     1.399     0.173
   2   4   0   4   0.98698  22283.10  46.91524     0.051     0.041   576.660     0.135     0.069     1.395     0.109
   4   1  -5   4   0.98594  22259.67  46.80495     0.009     0.008   574.238     0.135     0.069     1.394     0.019
   1   1  -5   4   0.98486  22235.24  46.69012     0.022     0.022   571.722     0.135     0.069     1.392     0.048
   2   4  -2   4   0.98446  22226.20  46.64763     0.062     0.063   570.792     0.135     0.070     1.392     0.132
   0   4   2   4   0.98417  22219.71  46.61715     0.190     0.199   570.125     0.135     0.070     1.391     0.404
   2   3  -4   4   0.98194  22169.41  46.38131     0.050     0.054   564.980     0.136     0.070     1.388     0.106
   4   3  -1   4   0.97102  21922.81  45.23310     3.162     3.301   540.256     0.137     0.071     1.373     6.371
   3   3   1   4   0.97054  21911.91  45.18267     3.254     3.343   539.183     0.137     0.071     1.372     6.545
   5   2  -2   4   0.96740  21841.08  44.85555     1.526     1.401   532.244     0.138     0.071     1.367     3.030
   3   2   2   4   0.96631  21816.46  44.74216     1.480     1.405   529.849     0.138     0.071     1.366     2.925
   4   3  -3   4   0.96624  21814.82  44.73457     2.806     2.664   529.689     0.138     0.071     1.366     5.543
   1   3   3   4   0.96522  21791.82  44.62877     2.677     2.498   527.459     0.138     0.072     1.364     5.266
   5   2  -3   4   0.96443  21774.15  44.54749     0.618     0.559   525.749     0.138     0.072     1.363     1.212
   2   2   3   4   0.96302  21742.16  44.40061     0.663     0.614   522.666     0.138     0.072     1.361     1.292
   3   3  -4   4   0.96164  21711.02  44.25787     2.721     2.841   519.678     0.139     0.072     1.359     5.275
   1   3  -4   4   0.96110  21698.92  44.20247     2.698     2.831   518.521     0.139     0.072     1.359     5.218
   3   2  -5   4   0.95408  21540.34  43.47932     0.837     0.937   503.527     0.140     0.073     1.349     1.571
   2   2  -5   4   0.95375  21532.96  43.44578     0.800     0.902   502.837     0.140     0.073     1.348     1.501
   5   0   0   2   0.94425  21318.39  42.47678     0.413     0.532   241.546     0.141     0.074     1.335     0.372
   5   0  -5   2   0.93070  21012.47  41.11341     1.142     1.258   227.975     0.143     0.075     1.316     0.971
   5   2  -1   4   0.93064  21011.21  41.10783     3.340     3.686   455.841     0.143     0.075     1.316     5.679
   4   2   1   4   0.93009  20998.88  41.05332     3.412     3.767   454.772     0.143     0.075     1.315     5.787
   0   0   5   2   0.92918  20978.26  40.96226     1.200     1.249   226.494     0.143     0.076     1.313     1.014
   3   4  -1   4   0.92761  20942.87  40.80624     1.399     1.296   449.939     0.144     0.076     1.311     2.348
   2   4   1   4   0.92731  20936.08  40.77634     1.368     1.246   449.356     0.144     0.076     1.311     2.293
   3   4  -2   4   0.92604  20907.40  40.65010     0.903     0.780   446.898     0.144     0.076     1.309     1.505
   1   4   2   4   0.92556  20896.59  40.60260     0.908     0.776   445.975     0.144     0.076     1.308     1.510
   2   4  -3   4   0.92314  20841.97  40.36290     0.915     0.915   441.330     0.144     0.076     1.305     1.505
   1   4  -3   4   0.92296  20837.95  40.34530     0.845     0.855   440.990     0.144     0.076     1.305     1.390
   5   2  -4   4   0.92278  20833.89  40.32753     3.744     3.821   440.646     0.144     0.076     1.304     6.154
   5   1   0   4   0.92272  20832.40  40.32100     3.261     3.336   440.520     0.144     0.076     1.304     5.358
   1   2   4   4   0.92137  20801.87  40.18739     3.818     3.813   437.943     0.145     0.076     1.302     6.237
   4   2  -5   4   0.91764  20717.79  39.82056     3.557     3.814   430.905     0.145     0.077     1.297     5.717
   1   2  -5   4   0.91677  20698.09  39.73486     3.466     3.722   429.268     0.145     0.077     1.296     5.550
   4   3   0   4   0.91504  20659.14  39.56566     0.155     0.142   426.045     0.146     0.077     1.293     0.247
   5   1  -5   4   0.91006  20546.65  39.07906     2.525     2.526   416.842     0.146     0.078     1.286     3.926
   0   1   5   4   0.90864  20514.66  38.94120     2.495     2.549   414.251     0.147     0.078     1.284     3.855
   4   3  -4   4   0.90708  20479.42  38.78962     0.195     0.203   411.412     0.147     0.078     1.282     0.299
   0   3   4   4   0.90618  20459.12  38.70247     0.397     0.413   409.783     0.147     0.078     1.281     0.607
   6   0  -3   2   0.90469  20425.48  38.55818     3.780     3.731   203.547     0.147     0.078     1.279     2.870
   3   0   3   2   0.90319  20391.53  38.41291     3.507     3.571   202.197     0.148     0.079     1.277     2.645
   3   4   0   4   0.89411  20186.64  37.54175     4.159     3.774   388.383     0.149     0.080     1.264     6.025
   6   0  -2   2   0.89079  20111.62  37.22530     0.024     0.021   191.321     0.150     0.080     1.259     0.017
