"limits",0.41793271356529965,2.0166917616420346
"masked X","X","obs","calc","bkg","diff"
--,3390.572913768,54.10642821095662,0.0,0.0,-25.730429924827472
--,3393.284254492,50.170205904507064,0.0,0.0,-25.730429924827472
--,3395.9977633945,49.60022734527545,0.0,0.0,-25.730429924827472
--,3398.7134422100003,49.147522327516846,0.0,0.0,-25.730429924827472
--,3401.4312926735,51.6556358389067,0.0,0.0,-25.730429924827472
--,3404.1513165210004,49.952196200651684,0.0,0.0,-25.730429924827472
--,3406.873515491,53.73635782018275,0.0,0.0,-25.730429924827472
--,3409.5978913235003,58.0701248763453,0.0,0.0,-25.730429924827472
--,3412.3244457585,53.42897720107221,0.0,0.0,-25.730429924827472
--,3415.053180538,54.97985447265778,0.0,0.0,-25.730429924827472
--,3417.784097406,54.69142352818499,0.0,0.0,-25.730429924827472
--,3420.5171981075,55.56817696473673,0.0,0.0,-25.730429924827472
--,3423.252484389,54.479706236712005,0.0,0.0,-25.730429924827472
--,3425.9899579975,54.24559566476439,0.0,0.0,-25.730429924827472
--,3428.7296206825004,52.17761773064957,0.0,0.0,-25.730429924827472
--,3431.4714741945,52.28444618902328,0.0,0.0,-25.730429924827472
--,3434.2155202855,59.99882373552226,0.0,0.0,-25.730429924827472
--,3436.961760709,52.9043157699155,0.0,0.0,-25.730429924827472
--,3439.7101972194996,52.276151367752426,0.0,0.0,-25.730429924827472
--,3442.4608315735,53.92670242258078,0.0,0.0,-25.730429924827472
--,3445.2136655285003,49.92817962412297,0.0,0.0,-25.730429924827472
--,3447.968700843,51.31472831109749,0.0,0.0,-25.730429924827472
--,3450.7259392775,57.10759901614932,0.0,0.0,-25.730429924827472
--,3453.485382594,53.85289664874921,0.0,0.0,-25.730429924827472
--,3456.2470325555005,49.538428469941,0.0,0.0,-25.730429924827472
--,3459.010890927,48.68864882880236,0.0,0.0,-25.730429924827472
--,3461.7769594740003,54.54066920977852,0.0,0.0,-25.730429924827472
--,3464.5452399640003,52.81288566892844,0.0,0.0,-25.730429924827472
--,3467.3157341660003,48.98925944368913,0.0,0.0,-25.730429924827472
--,3470.0884438499997,54.75901385823848,0.0,0.0,-25.730429924827472
--,3472.863370788,51.88975252981309,0.0,0.0,-25.730429924827472
--,3475.6405167525,46.785169794298746,0.0,0.0,-25.730429924827472
--,3478.4198835185002,55.98258029453562,0.0,0.0,-25.730429924827472
--,3481.2014728619997,50.295495853705155,0.0,0.0,-25.730429924827472
--,3483.9852865599996,54.12318911401997,0.0,0.0,-25.730429924827472
--,3486.7713263915,51.391535314599416,0.0,0.0,-25.730429924827472
--,3489.5595941365,52.9870267940873,0.0,0.0,-25.730429924827472
--,3492.3500915765,51.340549886357906,0.0,0.0,-25.730429924827472
--,3495.1428204945,52.37400958587715,0.0,0.0,-25.730429924827472
--,3497.937782675,56.21838128810826,0.0,0.0,-25.730429924827472
--,3500.7349799040003,52.11729115861988,0.0,0.0,-25.730429924827472
--,3503.534413969,52.43612887580988,0.0,0.0,-25.730429924827472
--,3506.3360866585,53.22901212332649,0.0,0.0,-25.730429924827472
--,3509.1399997625003,52.083127728235844,0.0,0.0,-25.730429924827472
--,3511.9461550729998,53.830554646955775,0.0,0.0,-25.730429924827472
--,3514.7545543829997,54.27039287480886,0.0,0.0,-25.730429924827472
--,3517.5651994864998,57.40542303347037,0.0,0.0,-25.730429924827472
--,3520.3780921795,55.28597533347218,0.0,0.0,-25.730429924827472
--,3523.1932342595,54.830259677748344,0.0,0.0,-25.730429924827472
--,3526.010627525,51.775061514678036,0.0,0.0,-25.730429924827472
--,3528.8302737765002,55.24920126907536,0.0,0.0,-25.730429924827472
--,3531.6521748160003,52.42628275354204,0.0,0.0,-25.730429924827472
--,3534.476332446,49.35547242416167,0.0,0.0,-25.730429924827472
--,3537.302748471,49.16793624214603,0.0,0.0,-25.730429924827472
--,3540.1314246969996,51.55452416724662,0.0,0.0,-25.730429924827472
--,3542.9623629319995,51.63465379226136,0.0,0.0,-25.730429924827472
--,3545.7955649845,52.96923883800856,0.0,0.0,-25.730429924827472
--,3548.6310326645,52.55629938207863,0.0,0.0,-25.730429924827472
--,3551.468767784,51.66618990325352,0.0,0.0,-25.730429924827472
--,3554.3087721560005,48.858714773844085,0.0,0.0,-25.730429924827472
--,3557.1510475960004,52.05267026275427,0.0,0.0,-25.730429924827472
--,3559.9955959195,49.227507038961335,0.0,0.0,-25.730429924827472
--,3562.8424189435,54.21129262835229,0.0,0.0,-25.730429924827472
--,3565.6915184874997,50.95928151071844,0.0,0.0,-25.730429924827472
--,3568.5428963719996,55.171864412151194,0.0,0.0,-25.730429924827472
--,3571.3965544189996,57.312507011877486,0.0,0.0,-25.730429924827472
--,3574.252494452,54.14216018673539,0.0,0.0,-25.730429924827472
--,3577.1107182960004,52.034877078617995,0.0,0.0,-25.730429924827472
--,3579.9712277765,53.00337735808167,0.0,0.0,-25.730429924827472
--,3582.834024721499,54.27338060040111,0.0,0.0,-25.730429924827472
--,3585.699110961,56.101252479003016,0.0,0.0,-25.730429924827472
--,3588.566488325,50.99282671770387,0.0,0.0,-25.730429924827472
--,3591.4361586454997,49.4193024394238,0.0,0.0,-25.730429924827472
--,3594.308123756,49.154292296736365,0.0,0.0,-25.730429924827472
--,3597.1823854920003,52.69395514290517,0.0,0.0,-25.730429924827472
--,3600.0589456905,50.78838383802846,0.0,0.0,-25.730429924827472
--,3602.937806189,50.96860507628942,0.0,0.0,-25.730429924827472
--,3605.8189688265,49.78012254240748,0.0,0.0,-25.730429924827472
--,3608.7024354445,52.31741078011228,0.0,0.0,-25.730429924827472
--,3611.5882078855,51.94048788430318,0.0,0.0,-25.730429924827472
