PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   2   4   0   4   0.98700  22283.67  56.99087     0.050     0.035   605.518     0.135     0.069     1.395     0.831
   4   1  -5   4   0.98540  22247.37  63.75871     0.073     0.056   601.582     0.135     0.069     1.393     1.191
   1   1  -5   4   0.98532  22245.59  97.02627     0.001     0.001   601.389     0.135     0.069     1.393     0.017
   2   4  -2   4   0.98433  22223.35  56.75939     0.094     0.077   598.987     0.135     0.070     1.391     1.529
   0   4   2   4   0.98431  22222.87  58.68036     0.340     0.278   598.936     0.135     0.070     1.391     5.546
   2   3  -4   4   0.98192  22168.83  63.06914     0.109     0.088   593.131     0.136     0.070     1.388     1.758
   4   3  -1   4   0.97084  21918.72  55.14246     3.411     3.550   566.811     0.137     0.071     1.372    52.696
   3   3   1   4   0.97080  21917.92  58.61089     3.416     3.543   566.729     0.137     0.071     1.372    52.758
   5   2  -2   4   0.96694  21830.66  54.32742     1.594     1.546   557.757     0.138     0.071     1.367    24.227
   3   2   2   4   0.96686  21828.86  64.39898     1.520     1.475   557.573     0.138     0.071     1.367    23.104
   4   3  -3   4   0.96577  21804.34  54.71492     2.772     2.669   555.071     0.138     0.071     1.365    41.934
   1   3   3   4   0.96570  21802.66  64.52203     2.925     2.817   554.900     0.138     0.071     1.365    44.243
   5   2  -3   4   0.96380  21759.82  54.06344     0.527     0.501   550.552     0.138     0.072     1.362     7.910
   2   2   3   4   0.96370  21757.48  70.74127     0.826     0.793   550.315     0.138     0.072     1.362    12.384
   3   3  -4   4   0.96137  21704.93  57.82583     2.891     2.940   545.018     0.139     0.072     1.359    42.950
   1   3  -4   4   0.96133  21704.05  64.16295     2.982     3.022   544.929     0.139     0.072     1.359    44.283
   3   2  -5   4   0.95388  21535.95  63.33791     0.808     0.802   528.241     0.140     0.073     1.348    11.639
   2   2  -5   4   0.95386  21535.41  69.93029     1.236     1.226   528.188     0.140     0.073     1.348    17.794
   5   0   0   2   0.94432  21320.01  55.31599     0.642     0.541   253.684     0.141     0.074     1.335     4.441
   5   2  -1   4   0.93044  21006.76  51.34291     3.580     3.960   478.199     0.143     0.075     1.315    46.661
   4   2   1   4   0.93040  21005.86  55.82556     3.673     4.044   478.117     0.143     0.075     1.315    47.861
   5   0  -5   2   0.92997  20996.01  54.17719     1.463     1.597   238.610     0.143     0.075     1.315     9.516
   0   0   5   2   0.92986  20993.51 112.65193     1.012     1.070   238.497     0.143     0.075     1.315     6.576
   3   4  -1   4   0.92750  20940.30  50.10496     1.446     1.448   472.175     0.144     0.076     1.311    18.606
   2   4   1   4   0.92748  20939.80  52.06894     1.273     1.275   472.130     0.144     0.076     1.311    16.376
   3   4  -2   4   0.92583  20902.70  49.97348     0.817     0.798   468.793     0.144     0.076     1.309    10.436
   1   4   2   4   0.92580  20901.91  53.36280     0.855     0.837   468.722     0.144     0.076     1.309    10.926
   2   4  -3   4   0.92306  20840.00  51.72359     0.811     0.834   463.193     0.144     0.076     1.305    10.235
   1   4  -3   4   0.92304  20839.71  53.14894     1.022     1.052   463.167     0.144     0.076     1.305    12.906
   5   1   0   4   0.92279  20833.92  52.81231     3.458     3.574   462.653     0.144     0.076     1.304    43.604
   5   2  -4   4   0.92213  20819.03  50.68958     3.908     4.059   461.331     0.144     0.076     1.303    49.139
