PWDR PG3_45614_200K.gsa Bank 1 Manganese oxide  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
  11   3   1  48   0.38777   8754.87  10.55999     2.994     2.291     5.972     0.344     0.135     0.548     0.170
   8   8   2  24   0.38630   8721.64  10.52984     0.002     0.002     2.941     0.345     0.134     0.546     0.000
  10   4   4  24   0.38630   8721.64  10.52984     0.002     0.002     2.941     0.345     0.134     0.546     0.000
   8   6   6  24   0.38058   8592.42  10.41047     0.001     0.001     2.770     0.350     0.129     0.538     0.000
  10   6   0  24   0.38058   8592.42  10.41047     0.001     0.001     2.770     0.350     0.129     0.538     0.000
   9   7   3  48   0.37645   8499.18  10.32211     2.469     2.050     5.304     0.354     0.124     0.532     0.124
  11   3   3  24   0.37645   8499.18  10.32211     2.469     2.050     2.652     0.354     0.124     0.532     0.062
  10   6   2  48   0.37510   8468.77  10.29286     0.001     0.001     5.229     0.355     0.123     0.530     0.000
   8   8   4  24   0.36985   8350.31  10.17677     0.000     0.000     2.471     0.360     0.116     0.523     0.000
  12   0   0   6   0.36985   8350.31  10.17677     0.000     0.000     0.618     0.360     0.116     0.523     0.000
   7   7   7   8   0.36606   8264.66  10.09060     1.806     1.835     0.790     0.364     0.111     0.517     0.014
  11   5   1  48   0.36606   8264.66  10.09060     1.806     1.835     4.743     0.364     0.111     0.517     0.081
  12   2   0  24   0.36482   8236.69  10.06203     0.000     0.000     2.339     0.365     0.109     0.516     0.000
  10   6   4  48   0.35999   8127.58   9.94849     0.000     0.000     4.436     0.370     0.101     0.509     0.000
  12   2   2  24   0.35999   8127.58   9.94849     0.000     0.000     2.218     0.370     0.101     0.509     0.000
   9   7   5  48   0.35649   8048.54   9.86405     2.287     1.644     4.266     0.374     0.095     0.504     0.093
  11   5   3  48   0.35649   8048.54   9.86405     2.287     1.644     4.266     0.374     0.095     0.504     0.093
  12   4   0  24   0.35087   7921.77   9.72457     0.000     0.000     2.002     0.380     0.084     0.496     0.000
   9   9   1  24   0.34763   7848.53   9.64158     1.143     1.472     1.929     0.383     0.078     0.491     0.021
   8   8   6  24   0.34657   7824.56   9.61403     0.000     0.000     1.905     0.384     0.075     0.490     0.000
  10   8   0  24   0.34657   7824.56   9.61403     0.000     0.000     1.905     0.384     0.075     0.490     0.000
  12   4   2  48   0.34657   7824.56   9.61403     0.000     0.000     3.810     0.384     0.075     0.490     0.000
  10   8   2  48   0.34242   7730.85   9.50434     0.001     0.001     3.631     0.389     0.066     0.484     0.000
   9   9   3  24   0.33940   7662.73   9.42261     1.546     1.319     1.752     0.393     0.058     0.480     0.026
  11   5   5  24   0.33940   7662.73   9.42261     1.546     1.319     1.752     0.393     0.058     0.480     0.026
  11   7   1  48   0.33940   7662.73   9.42261     1.546     1.319     3.505     0.393     0.058     0.480     0.051
  13   1   1  24   0.33940   7662.73   9.42261     1.546     1.319     1.752     0.393     0.058     0.480     0.026
  10   6   6  24   0.33841   7640.42   9.39546     0.001     0.001     1.732     0.394     0.055     0.478     0.000
  12   4   4  24   0.33454   7553.09   9.28734     0.001     0.001     1.654     0.398     0.044     0.473     0.000
   9   7   7  24   0.33173   7489.52   9.20672     1.087     1.182     1.599     0.402     0.036     0.469     0.017
  11   7   3  48   0.33173   7489.52   9.20672     1.087     1.182     3.198     0.402     0.036     0.469     0.033
  13   3   1  48   0.33173   7489.52   9.20672     1.087     1.182     3.198     0.402     0.036     0.469     0.033
  12   6   0  24   0.33081   7468.69   9.17993     0.001     0.002     1.582     0.403     0.033     0.468     0.000
  10   8   4  48   0.33081   7468.69   9.17993     0.001     0.002     3.163     0.403     0.033     0.468     0.000
  12   6   2  48   0.32719   7387.05   9.07321     0.002     0.002     3.027     0.407     0.021     0.463     0.000
   9   9   5  24   0.32456   7327.55   8.99360     1.564     1.060     1.465     0.411     0.012     0.459     0.022
  13   3   3  24   0.32456   7327.55   8.99360     1.564     1.060     1.465     0.411     0.012     0.459     0.022
   8   8   8   8   0.32030   7231.50   8.86170     0.000     0.003    -0.463     0.416    -0.004     0.453    -0.000
  11   7   5  48   0.31783   7175.66   8.78301     0.000     0.950    -2.695     0.419    -0.014     0.449    -0.000
  13   5   1  48   0.31783   7175.66   8.78301     0.000     0.950    -2.695     0.419    -0.014     0.449    -0.000
  12   6   4  48   0.31702   7157.32   8.75686     0.000     0.003    -2.668     0.420    -0.018     0.448    -0.000
  14   0   0   6   0.31702   7157.32   8.75686     0.000     0.003    -0.333     0.420    -0.018     0.448    -0.000
  14   2   0  24   0.31383   7085.38   8.65259     0.000     0.004    -1.281     0.425    -0.032     0.444    -0.000
  10   8   6  48   0.31383   7085.38   8.65259     0.000     0.004    -2.562     0.425    -0.032     0.444    -0.000
  10  10   0  12   0.31383   7085.38   8.65259     0.000     0.004    -0.641     0.425    -0.032     0.444    -0.000
  11   9   1  48   0.31150   7032.83   8.57475     0.000     0.852    -2.487     0.428    -0.043     0.440    -0.000
