PWDR PG3_45598.gsa Bank 1 Mn3Ga  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   5   0   3  12   0.78715  17772.03  28.06878     2.197     2.397   687.742     0.169     0.095     1.113     0.228
   5   1   2  24   0.78469  17716.47  27.86927     0.654     0.641  1358.363     0.170     0.096     1.109     0.134
   2   1   5  24   0.78178  17650.70  27.63425     2.409     2.249  1338.304     0.170     0.096     1.105     0.486
   6   0   0   6   0.78056  17623.24  27.53650     0.030     0.030   332.499     0.171     0.097     1.103     0.002
   4   3   0  12   0.76994  17383.48  26.69246     0.466     0.532   629.537     0.173     0.098     1.088     0.044
   6   0   1  12   0.76833  17347.06  26.56577     0.000     0.000   624.278     0.173     0.099     1.086     0.000
   3   2   4  24   0.76491  17269.89  26.29862     0.692     0.871  1226.484     0.174     0.099     1.081     0.128
   3   0   5  12   0.76086  17178.56  25.98484     0.006     0.006   600.371     0.175     0.100     1.076     0.001
   4   3   1  24   0.75819  17118.25  25.77905     2.215     2.297  1183.968     0.176     0.100     1.072     0.395
   4   2   3  24   0.75578  17063.74  25.59402     0.053     0.033  1168.958     0.176     0.101     1.068     0.009
   5   2   0  12   0.74994  16931.91  25.15046     3.613     2.791   566.625     0.178     0.102     1.060     0.309
   4   1   4  24   0.74529  16826.89  24.80107     3.207     2.754  1105.393     0.179     0.103     1.054     0.534
   5   2   1  24   0.73907  16686.53  24.33972     0.021     0.022  1068.967     0.180     0.104     1.045     0.003
   6   0   2  12   0.73481  16590.43  24.02762     0.127     0.060   522.276     0.181     0.105     1.039     0.010
   5   1   3  24   0.72788  16433.90  23.52591     2.171     2.074  1005.681     0.183     0.106     1.029     0.329
   0   0   6   2   0.72614  16394.52  23.40103     0.074     0.061    83.006     0.183     0.106     1.026     0.001
   4   3   2  24   0.72593  16389.94  23.38653     0.611     0.511   994.963     0.184     0.106     1.026     0.092
   3   1   5  24   0.72362  16337.82  23.22215     2.319     1.969   982.368     0.184     0.107     1.023     0.343
   1   0   6  12   0.71756  16200.96  22.79504     0.778     0.699   474.930     0.186     0.108     1.014     0.056
   6   1   0  12   0.71421  16125.21  22.56151     0.700     0.795   466.109     0.187     0.109     1.010     0.049
   5   0   4  12   0.71019  16034.42  22.28433     0.570     0.505   455.700     0.188     0.110     1.004     0.039
   5   2   2  24   0.70910  16009.83  22.20977     2.630     2.636   905.820     0.188     0.110     1.002     0.359
   6   1   1  24   0.70480  15912.83  21.91788     1.909     1.815   884.066     0.189     0.111     0.996     0.254
   1   1   6  12   0.70129  15833.56  21.68192     3.106     2.593   433.289     0.190     0.111     0.991     0.203
   4   0   5  12   0.69903  15782.46  21.53110     0.078     0.067   427.723     0.191     0.112     0.988     0.005
   3   3   4  12   0.69440  15677.98  21.22581     2.633     2.542   416.509     0.192     0.113     0.982     0.165
   2   0   6  12   0.69356  15658.98  21.17075     0.025     0.023   414.493     0.192     0.113     0.980     0.002
   6   0   3  12   0.68754  15523.26  20.78149     0.000     0.000   400.308     0.194     0.114     0.972     0.000
   4   2   4  24   0.68689  15508.45  20.73946     0.031     0.026   797.565     0.194     0.114     0.971     0.004
   4   3   3  24   0.68025  15358.65  20.31921     1.919     2.033   767.191     0.196     0.116     0.962     0.222
   6   1   2  24   0.67866  15322.75  20.21984     0.807     0.745   760.043     0.196     0.116     0.959     0.092
   3   2   5  24   0.67678  15280.14  20.10259     2.117     1.756   751.623     0.197     0.116     0.957     0.240
   4   4   0   6   0.67599  15262.31  20.05377     0.149     0.123   187.030     0.197     0.117     0.956     0.004
   2   1   6  24   0.67181  15168.00  19.79760     0.675     0.561   729.799     0.198     0.118     0.950     0.074
   5   3   0  12   0.66905  15105.78  19.63065     0.475     0.634   358.949     0.199     0.118     0.946     0.026
   7   0   0   6   0.66905  15105.78  19.63065     0.628     0.839   179.474     0.199     0.118     0.946     0.017
   5   2   3  24   0.66634  15044.55  19.46793     0.015     0.016   706.327     0.200     0.119     0.942     0.002
   5   1   4  24   0.66574  15031.07  19.43232     0.517     0.551   703.799     0.200     0.119     0.941     0.055
   4   1   5  24   0.66307  14970.73  19.27391     0.004     0.004   692.566     0.201     0.119     0.937     0.000
   5   3   1  24   0.66130  14930.77  19.16983     1.661     1.764   685.200     0.201     0.120     0.935     0.172
   7   0   1  12   0.66130  14930.77  19.16983     1.545     1.641   342.600     0.201     0.120     0.935     0.080
   3   0   6  12   0.65840  14865.22  19.00065     2.448     2.419   336.623     0.202     0.121     0.931     0.124
   6   2   0  12   0.64947  14663.59  18.49199     0.002     0.040   318.726     0.205     0.123     0.918     0.000
   4   4   2  12   0.64562  14576.66  18.27827     0.051     0.164   311.235     0.206     0.123     0.913     0.002
   6   2   1  24   0.64237  14503.34  18.10066     0.113     0.128   610.040     0.207     0.124     0.908     0.010
   6   1   3  24   0.64090  14470.14  18.02105     1.601     1.640   604.473     0.208     0.124     0.906     0.146
   2   2   6  12   0.63971  14443.24  17.95690     0.154     0.166   299.995     0.208     0.125     0.904     0.007
   5   3   2  24   0.63957  14440.11  17.94945     0.552     0.600   599.470     0.208     0.125     0.904     0.050
   7   0   2  12   0.63957  14440.11  17.94945     0.720     0.782   299.735     0.208     0.125     0.904     0.033
   5   0   5  12   0.63799  14404.43  17.86494     1.650     1.881   296.783     0.209     0.125     0.902     0.074
   6   0   4  12   0.63446  14324.86  17.67858     0.135     0.179   290.280     0.210     0.126     0.897     0.006
   3   1   6  24   0.63382  14310.37  17.64494     0.509     0.600   578.214     0.210     0.126     0.896     0.044
   4   3   4  24   0.62872  14195.20  17.38116     0.384     0.453   559.823     0.212     0.127     0.889     0.032
   6   2   2  24   0.62239  14052.38  17.06263     0.085     0.050   537.629     0.214     0.129     0.880     0.007
   4   2   5  24   0.62094  14019.49  16.99064     0.191     0.150   532.614     0.215     0.129     0.878     0.015
   7   1   0  12   0.62033  14005.72  16.96064     2.288     2.213   265.262     0.215     0.129     0.877     0.091
   5   2   4  24   0.61769  13946.11  16.83184     2.270     2.240   521.549     0.216     0.130     0.873     0.178
   4   0   6  12   0.61709  13932.73  16.80317     0.052     0.051   259.775     0.216     0.130     0.872     0.002
   1   0   7  12   0.61698  13930.09  16.79753     1.703     1.649   259.579     0.216     0.130     0.872     0.067
   7   1   1  24   0.61413  13865.88  16.66117     0.001     0.003   509.651     0.217     0.131     0.868     0.000
   5   3   3  24   0.60767  13719.90  16.35844     1.452     1.593   488.524     0.219     0.132     0.859     0.107
   7   0   3  12   0.60767  13719.90  16.35844     1.361     1.493   244.262     0.219     0.132     0.859     0.050
   5   1   5  24   0.60519  13663.85  16.24489     1.585     1.662   480.589     0.220     0.133     0.855     0.115
   3   2   6  24   0.60163  13583.49  16.08471     0.541     0.631   469.382     0.221     0.134     0.850     0.038
   2   0   7  12   0.60152  13581.05  16.07989     0.147     0.172   234.522     0.222     0.134     0.850     0.005
   5   4   0  12   0.59964  13538.75  15.99687     0.466     0.700   231.614     0.222     0.134     0.848     0.016
   6   1   4  24   0.59726  13484.88  15.89237     0.556     0.619   455.899     0.223     0.135     0.844     0.038
   7   1   2  24   0.59661  13470.24  15.86421     1.825     2.104   453.923     0.223     0.135     0.843     0.125
   5   4   1  24   0.59404  13412.32  15.75380     1.375     1.448   446.165     0.224     0.135     0.840     0.092
   6   2   3  24   0.59288  13386.05  15.70425     0.199     0.192   442.680     0.225     0.136     0.838     0.013
   4   1   6  24   0.59194  13364.74  15.66431     2.184     2.104   439.868     0.225     0.136     0.837     0.145
   6   3   0  12   0.59005  13322.12  15.58505     1.769     2.091   217.142     0.226     0.136     0.834     0.058
   2   1   7  24   0.58716  13256.99  15.46558     1.753     1.606   425.852     0.227     0.137     0.830     0.113
   8   0   0   6   0.58542  13217.64  15.39438     0.047     0.069   105.205     0.228     0.137     0.828     0.001
   6   3   1  24   0.58471  13201.61  15.36558     0.005     0.009   418.781     0.228     0.138     0.827     0.000
   6   0   5  12   0.58140  13126.88  15.23295     0.000     0.000   204.689     0.229     0.138     0.822     0.000
   8   0   1  12   0.58021  13099.91  15.18572     0.360     0.212   203.012     0.230     0.139     0.820     0.011
   3   0   7  12   0.57815  13053.41  15.10510     0.003     0.002   200.145     0.230     0.139     0.817     0.000
   5   4   2  24   0.57814  13053.26  15.10484     0.954     0.657   400.272     0.230     0.139     0.817     0.058
   4   3   5  24   0.57697  13026.89  15.05957     1.905     1.624   397.046     0.231     0.139     0.816     0.114
   4   4   4  12   0.57436  12967.95  14.95957     0.282     0.292   194.955     0.232     0.140     0.812     0.008
   5   0   6  12   0.57389  12957.19  14.94149     0.430     0.415   194.308     0.232     0.140     0.811     0.013
   7   2   0  12   0.57216  12918.34  14.87665     0.395     0.366   191.988     0.233     0.141     0.809     0.011
   7   1   3  24   0.57047  12879.98  14.81331     0.002     0.002   379.436     0.234     0.141     0.806     0.000
   7   0   4  12   0.57009  12871.52  14.79943     0.604     0.643   189.220     0.234     0.141     0.806     0.017
